korean,reading,japanese,part_of_speech
??,ウネン,銀行,名詞
???,ウチェグク,郵便局,名詞
??,サンジョム,店,名詞
??,カゲ,店、小売店,名詞
??,シジャン,市場,名詞
???,ペクファジョム,百貨店、デパート,名詞
??,シクダン,食堂,名詞
??,カペ,カフェ,名詞
??,ホテル,ホテル,名詞
??,コンハン,空港,名詞
?,ヨク,駅,名詞
???,チョンリュジャン,停留所、バス停,名詞
?,キル,道,名詞
??,コリ,通り、街,名詞
?,ウィ,上,名詞
??,アレ,下,名詞
?,ミッ,下、もと,名詞
?,アプ,前,名詞
?,ドゥィ,後ろ,名詞
?,ヨプ,横、隣,名詞
?,アン,中,名詞
?,バク,外,名詞
??,ウェンジョク,左側,名詞
???,オウンジョク,右側,名詞
??,ドンジョク,東,名詞
??,ソジョク,西,名詞
??,ナムジョク,南,名詞
??,ブクジョク,北,名詞
??,ナラ,国,名詞
??,ハングク,韓国,名詞
??,イルボン,日本,名詞
??,ドシ,都市,名詞
??,ソウル,ソウル,名詞
??,セゲ,世界,名詞
??,ウムシク,食べ物、料理,名詞
?,バプ,ご飯、食事,名詞
?,グク,スープ、汁物,名詞
??,パンチャン,おかず,名詞
??,キムチ,キムチ,名詞
??,ゴギ,肉,名詞
??,センソン,魚,名詞
??,チェソ,野菜,名詞
??,グァイル,果物,名詞
??,サグァ,りんご,名詞
???,バナナ,バナナ,名詞
?,ムル,水,名詞
?,チャ,お茶、車,名詞
??,コーヒー,コーヒー,名詞
??,ウユ,牛乳,名詞
??,ジュス,ジュース,名詞
??,メクジュ,ビール,名詞
?,スル,酒,名詞
?,パン,パン,名詞
??,タルギョル,卵,名詞
??,ソグム,塩,名詞
??,ソルタン,砂糖,名詞
??,ガンジャン,醤油,名詞
?,マッ,味,名詞
??,コンブ,勉強,名詞
??,スオプ,授業,名詞
??,シホム,試験,名詞
??,スクジェ,宿題,名詞
??,ジルムン,質問,名詞
??,テダプ,答え、返事,名詞
?,ットゥッ,意味,名詞
?,マル,言葉、話,名詞
?,クル,文章、文字,名詞
?,チェク,本,名詞
??,ゴンチェク,ノート,名詞
??,ヨンピル,鉛筆,名詞
??,ボルペン,ボールペン,名詞
???,ジウゲ,消しゴム,名詞
??,チョンイ,紙,名詞
??,カバン,カバン,名詞
??,チェクサン,机,名詞
??,ウィジャ,椅子,名詞
??,チルパン,黒板,名詞
??,ジガプ,財布,名詞
?,オッ,服,名詞
??,バジ,ズボン,名詞
??,チマ,スカート,名詞
??,シャツ,シャツ,名詞
??,コルト,コート,名詞
??,モジャ,帽子,名詞
??,グドゥ,革靴,名詞
???,ウンドンファ,運動靴、スニーカー,名詞
??,ヤンマル,靴下,名詞
??,アンギョン,眼鏡,名詞
??,シゲ,時計,名詞
??,ウサン,傘,名詞
??,ゴウル,鏡,名詞
??,スゴン,タオル,名詞
??,ビヌ,石鹸,名詞
??,チョンファ,電話,名詞
???,ヒュデポン,携帯電話,名詞
???,コンピュト,コンピュータ,名詞
????,テレビジョン,テレビ,名詞
???,ラジオ,ラジオ,名詞
??,サジン,写真,名詞
??,グリム,絵,名詞
??,ウマク,音楽,名詞
??,ノレ,歌,名詞
??,ヨンファ,映画,名詞
???,イヤギ,話、物語,名詞
??,ソンムル,プレゼント、贈り物,名詞
?,ドン,お金,名詞
?,ピョ,切符、チケット,名詞
??,ピョンジ,手紙,名詞
??,ソポ,小包,名詞
??,ナルシ,天気,名詞
??,ハヌル,空,名詞
??,グルム,雲,名詞
?,ビ,雨,名詞
?,ヌン,雪、目,名詞
??,バラム,風,名詞
??,ゴンギ,空気,名詞
?,サン,山,名詞
??,バダ,海,名詞
?,ガン,川,名詞
?,コッ,花,名詞
??,ナム,木,名詞
??,ドンムル,動物,名詞
?,セ,鳥,名詞
?,ゲ,犬,名詞
???,ゴヤイ,猫,名詞
??,ギョトン,交通,名詞
??,バス,バス,名詞
???,ジハチョル,地下鉄,名詞
??,テクシ,タクシー,名詞
???,ビヘンギ,飛行機,名詞
?,ベ,船、お腹、梨,名詞
???,ジャジョンゴ,自転車,名詞
???,シノドン,信号機,名詞
????,ギョトンサゴ,交通事故,名詞
?,イル,仕事、日,名詞
??,イルギ,日記,名詞
???,イルジュイル,一週間,名詞
??,ムンジェ,問題,名詞
?,ダプ,答え,名詞
??,イユ,理由,名詞
??,バンボプ,方法,名詞
??,スンソ,順番,名詞
??,セッカル,色,名詞
???,パルガンセク,赤色,名詞
???,パランセク,青色,名詞
???,ノランセク,黄色,名詞
???,ゲウンセク,黒色,名詞
???,ハヤンセク,白色,名詞
??,モヤン,形,名詞
??,ソリ,音,名詞
?,マム,心（??の縮約）,名詞
??,マウム,心、気持ち,名詞
??,センガク,考え,名詞
??,ギブン,気分,名詞
??,コンガン,健康,名詞
?,ビョン,病気、ビン,名詞
?,ヤク,薬,名詞
??,サゴ,事故,名詞
??,ヘンボク,幸福,名詞
??,チェミ,面白さ、楽しさ,名詞
??,インギ,人気,名詞
?,クム,夢,名詞
?,ヒム,力,名詞
?,ックッ,終わり、端,名詞
??,シジャク,始まり,名詞
??,ギョンチ,景色,名詞
??,ウンドン,運動、スポーツ,名詞
??,チュック,サッカー,名詞
??,ヤグ,野球,名詞
??,ノング,バスケットボール,名詞
??,スヨン,水泳,名詞
??,ヨヘン,旅行,名詞
??,サンチェク,散歩,名詞
??,ショピング,ショッピング,名詞
??,ヨリ,料理,名詞
??,チョンソ,掃除,名詞
??,パルレ,洗濯,名詞
??,ジュンビ,準備,名詞
??,ヤクソク,約束,名詞
??,ゲヒョク,計画,名詞
??,インサ,挨拶,名詞
??,ソゲ,紹介,名詞
??,チュカ,お祝い,名詞
??,カムサ,感謝,名詞
,,,
,,,
